รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05540072,ห้างหุ้นส่วนจำกัด ลาดใหญ่เรดิโอ,นิวเรดิโอ,87.75,บริการธุรกิจ,ได้รับอนุญาต,เมืองชัยภูมิ,ชัยภูมิ,15.794736,102.193047,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-11 00:00:00,
05520463,ห้างหุ้นส่วนจำกัด วิทยุเมืองเก่า,เมืองเก่า,87.75,บริการธุรกิจ,ได้รับอนุญาต,เกษตรสมบูรณ์,ชัยภูมิ,16.281654,101.924068,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-17 00:00:00,
05520448,วัดเทพโพธิ์ทอง,วัดเทพโพธิ์ทอง,87.75,บริการสาธารณะ,ได้รับอนุญาต,เทพสถิต,ชัยภูมิ,15.376394,101.43346,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-20 00:00:00,
05520452,บริษัท เกรท ซาวด์ มาร์เก็ตติ้ง จำกัด,ลูกทุ่ง ไทบำเหน็จ,88.0,บริการธุรกิจ,ได้รับอนุญาต,บำเหน็จณรงค์,ชัยภูมิ,15.462473,101.713328,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-10 00:00:00,
05520398,ห้างหุ้นส่วนจำกัด ไทยซีคอน,คนระเหวฯเฉลิมพระเกียรติ,88.0,บริการธุรกิจ,ได้รับอนุญาต,หนองบัวระเหว,ชัยภูมิ,15.738608,101.771747,,,ยังไม่ตรวจ,2567-12-26 00:00:00,
05520478,ห้างหุ้นส่วนจำกัด เต๋าโคกสว่าง เรดิโอ,เสียงจากประชาชนคนท้องถิ่น,88.25,บริการธุรกิจ,ได้รับอนุญาต,บำเหน็จณรงค์,ชัยภูมิ,15.456525,101.716622,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520469,ห้างหุ้นส่วนจำกัด พูชัย ซัพพลายเออร์,ลูกทุ่งไทยแลนด์,88.5,บริการธุรกิจ,ได้รับอนุญาต,แก้งคร้อ,ชัยภูมิ,16.106686,102.105742,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520414,กลุ่มคนชมรมคนรักษ์บ้านเกิด,วิทยุชมรมคนรักษ์บ้านเกิด,89.25,บริการชุมชน,ได้รับอนุญาต,ภูเขียว,ชัยภูมิ,16.296593,102.261397,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-12 00:00:00,
05520407,ห้างหุ้นส่วนจำกัด สุระธนอนันต์ ธุรกิจ,คนบ้านเล่าสัมพันธ์,89.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองชัยภูมิ,ชัยภูมิ,15.851064,102.068533,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-13 00:00:00,
05520482,ห้างหุ้นส่วนจำกัด ไทยซีคอน,หนองบัวระเหว เรดิโอ,89.75,บริการธุรกิจ,ได้รับอนุญาต,หนองบัวระเหว,ชัยภูมิ,15.762498,101.743168,,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-12-26 00:00:00,
